"","Ingles","Espanol"
"5256","mid","mediados"
"5257","visits","visitas"
"5258","yours","suyo"
"5259","transporters","transportistas"
"5260","fixed","fijados"
"5261","demonstrate","demuestre"
"5262","raãces","raã­ces"
"5263","propose","proponga"
"5264","records","expedientes"
"5265","previous","previas"
"5266","provide","proporcione"
"5267","submitted","presentados"
"5268","Helping","ayudando"
"5269","bad","malo"
"5270","feel","sentirse"
"5271","sacrifice","sacrificio"
"5272","generate","generan"
"5273","electorate","electorado"
"5274","check","verificar"
"5275","communists","comunistas"
"5276","fixed","fija"
"5277","contribute","contribuyan"
"5278","virus","virus"
"5279","strength","fortaleza"
"5280","existed","existido"
"5281","nominal","nominal"
"5282","optimism","optimismo"
"5283","point","apunta"
"5284","priority","prioritarias"
"5285","long lasting","duradero"
"5286","frãa","frã­a"
"5287","achieve","logra"
"5288","submitted","sometida"
"5289","indispensable","indispensables"
"5290","disadvantages","desventajas"
"5291","exemptions","exenciones"
"5292","makes","realizã"
"5293","old","viejos"
"5294","goose","ocã"
"5295","additives","aditivos"
"5296","firms","firmas"
"5297","shortcomings","carencias"
"5298","modern","moderno"
"5299","pounds","libras"
"5300","distortion","distorsiã"
"5301","proposing","proponiendo"
"5302","refund","reembolso"
"5303","potable","potable"
"5304","patience","paciencia"
"5305","sick","enfermos"
"5306","deal with","abordarse"
"5307","heading down","dirigirse"
"5308","beforehand","antemano"
"5309","to opt","optar"
"5310","weapon","arma"
"5311","count","cuente"
"5312","Street","calle"
"5313","homework","deberes"
"5314","linked","vinculada"
"5315","issued","emitido"
"5316","disappear","desaparecer"
"5317","transform","transformar"
"5318","to exchange","intercambiar"
"5319","recycling","reciclaje"
"5320","expressing","expresando"
"5321","oriented","orientado"
"5322","iv","iv"
"5323","bankruptcy","quiebra"
"5324","sectoral","sectoriales"
"5325","try","intentarã"
"5326","unnecessary","innecesaria"
"5327","nimemente","nimemente"
"5328","saw","vi"
"5329","knoll","lomã"
"5330","armed","armados"
"5331","Attract","atraer"
"5332","reputation","reputaciã"
"5333","record","constar"
"5334","finish","acabe"
"5335","rgica","rgica"
"5336","gesture","gesto"
"5337","eurojust","eurojust"
"5338","we think","opinamos"
"5339","intã","intã"
"5340","cleansed","limpio"
"5341","denied","negado"
"5342","implant","implantar"
"5343","greek","griegos"
"5344","Red","rojo"
"5345","torch","teã"
"5346","individual","individuo"
"5347","to break","romper"
"5348","compare","comparar"
"5349","examine","examine"
"5350","criticized","criticado"
"5351","church","iglesia"
"5352","expenses","expensas"
"5353","approve","aprueben"
"5354","slightly","ligeramente"
"5355","bombs","bombas"
"5356","Gothenburg","gotemburgo"
"5357","run","correr"
"5358","fight","luchan"
"5359","bullying","acoso"
"5360","starting off","partiendo"
"5361","scarce","escasos"
"5362","show","muestre"
"5363","radically","radicalmente"
"5364","regular","regulares"
"5365","discriminations","discriminaciones"
"5366","cosmetic","cosmã"
"5367","spent","gastado"
"5368","describe","describe"
"5369","happy","feliz"
"5370","courage","coraje"
"5371","digos","digos"
"5372","art","arte"
"5373","salary","salariales"
"5374","pekãn","pekã­n"
"5375","jerusalem","jerusalã"
"5376","optimistic","optimista"
"5377","combat","combate"
"5378","natura","natura"
"5379","drinks","bebidas"
"5380","guard","guarda"
"5381","produced","producidos"
"5382","opposite","opuesto"
"5383","jarzembowski","jarzembowski"
"5384","suggest","sugerir"
"5385","billions","millardos"
"5386","interested","interesado"
"5387","disabled","discapacitados"
"5388","reviewed","revisado"
"5389","coexistence","coexistencia"
"5390","move","trasladar"
"5391","adas","adas"
"5392","hint","indirecta"
"5393","humanitarian","humanitarios"
"5394","generated","generado"
"5395","complex","complejas"
"5396","reached","alcanzados"
"5397","progressively","progresivamente"
"5398","viable","viables"
"5399","wines","vinos"
"5400","closed","cerrada"
"5401","flu","gripe"
"5402","growing","creciendo"
"5403","darãa","darã­a"
"5404","engaged","comprometida"
"5405","tolerate","tolerar"
"5406","illegally","ilegalmente"
"5407","religious","religiosos"
"5408","only","nicamente"
"5409","survive","sobrevivir"
"5410","observe","observa"
"5411","return","retomar"
"5412","convert","conviertan"
"5413","pirate","piraterã­a"
"5414","privilege","privilegio"
"5415","of","of"
"5416","reding","reding"
"5417","vivid","vivido"
"5418","contain","contener"
"5419","gold","oro"
"5420","medicine","medicina"
"5421","profitable","rentable"
"5422","complain","queja"
"5423","cloth","tela"
"5424","dispose","disponga"
"5425","savings","ahorros"
"5426","processing","tramitaciã"
"5427","reciã","reciã"
"5428","announce","anunciar"
"5429","linked","vinculado"
"5430","feel","sientan"
"5431","lifting","levantamiento"
"5432","cotonãº","cotonãº"
"5433","finish","acabado"
"5434","harm","perjudicar"
"5435","grow","crecer"
"5436","wallstrã","wallstrã"
"5437","ingredients","ingredientes"
"5438","room","salã"
"5439","benefit","beneficiar"
"5440","oriented","orientadas"
"5441","we could","pudimos"
"5442","hãºngaros","hãºngaros"
"5443","judge","juez"
"5444","let's take","tomemos"
"5445","crãa","crã­a"
"5446","nãºms","nãºms"
"5447","considered","considerados"
"5448","Surprised","sorprendido"
"5449","ciles","ciles"
"5450","vaccination","vacunaciã"
"5451","they gave","dieron"
"5452","corrections","correcciones"
"5453","discover","descubrir"
"5454","stima","stima"
"5455","legislators","legisladores"
"5456","corbett","corbett"
"5457","conventions","convenciones"
"5458","homosexuals","homosexuales"
"5459","essays","ensayos"
"5460","ad","ad"
"5461","Question","preguntã"
"5462","difficultly","difã­cilmente"
"5463","I doubt","dudo"
"5464","dan","danã"
"5465","donor","donante"
"5466","distrust","desconfianza"
"5467","sincere","sincera"
"5468","celebrate","celebrarse"
"5469","intensify","intensificaciã"
"5470","demostrã","demostrã"
"5471","authorized","autorizados"
"5472","external","externas"
"5473","correct","correctas"
"5474","question","cuestionar"
"5475","stopped","detenido"
"5476","thrown out","lanzado"
"5477","near","cercano"
"5478","references","referentes"
"5479","collaborators","colaboradores"
"5480","joy","alegrã­a"
"5481","industrialized","industrializados"
"5482","cheap","barata"
"5483","Caribbean","caribe"
"5484","father","padre"
"5485","mentioned","mencionada"
"5486","grandstand","tribuna"
"5487","imported","importados"
"5488","optimal","ptima"
"5489","motto","lema"
"5490","I ignore","omiso"
"5491","lar","lar"
"5492","defending","defendiendo"
"5493","represented","representado"
"5494","sarkozy","sarkozy"
"5495","board","bordo"
"5496","paid out","pagado"
"5497","stabilize","estabilizar"
"5498","legatima","legã­timos"
"5499","compatibility","compatibilidad"
"5500","stable","estables"
"5501","obligatory","obligatorias"
"5502","vaccinations","vacunas"
"5503","find","hallar"
"5504","frauds","fraudes"
"5505","preceded","precedido"
"5506","french","francesas"
"5507","give","ceder"
"5508","ndolos","ndolos"
"5509","productions","producciones"
"5510","Converted","convirtiã"
"5511","trim","recortar"
"5512","siles","siles"
"5513","precise","precisos"
"5514","myanmar","myanmar"
"5515","foreign","extranjera"
"5516","to mean","significar"
"5517","enough","bastantes"
"5518","to depend","depender"
"5519","constructive","constructivas"
"5520","get us","ponernos"
"5521","restore","restaurar"
"5522","derive","derivan"
"5523","finished","termino"
"5524","integrate","integrarse"
"5525","North American","norteamericano"
"5526","vessel","buque"
"5527","make him","hacerle"
"5528","chaos","caos"
"5529","injustice","injusticia"
"5530","anteriority","anterioridad"
"5531","lower","inferiores"
"5532","arouses","suscita"
"5533","league","liga"
"5534","in","ende"
"5535","urban","urbano"
"5536","I come back","vuelvo"
"5537","fragmentation","fragmentaciã"
"5538","vital","vitales"
"5539","pnr","pnr"
"5540","we insist","insistimos"
"5541","estimations","estimaciones"
"5542","mortality","mortalidad"
"5543","ficits","ficits"
"5544","Somalia","somalia"
"5545","denominated","denominados"
"5546","Islam","islam"
"5547","written","escrita"
"5548","it states","afirmã"
"5549","commit","cometer"
"5550","preservation","preservaciã"
"5551","we agree","coincidimos"
"5552","esteem","estimo"
"5553","amounts","importes"
"5554","ecosystems","ecosistemas"
"5555","justified","justificadas"
"5556","promoting","promoviendo"
"5557","served","servido"
"5558","asuman","asuman"
"5559","repair","reparaciã"
"5560","get together","reunirse"
"5561","deployment","despliegue"
"5562","used","utilizadas"
"5563","we run","corremos"
"5564","facilitate","facilite"
"5565","denies","rechazã"
"5566","foundations","cimientos"
"5567","iraquães","iraquã­es"
"5568","rents","rentas"
"5569","envão","envã­o"
"5570","wanted","querã­an"
"5571","reside","residen"
"5572","aquaculture","acuicultura"
"5573","atmospheric","atmosfã"
"5574","aroused","suscitado"
"5575","will result","resultarã­a"
"5576","protesters","manifestantes"
"5577","associates","asociadas"
"5578","device","dispositivo"
"5579","submitted","sometidas"
"5580","vitorino","vitorino"
"5581","oppresses","opresiã"
"5582","sign","signo"
"5583","personality","personalidad"
"5584","licas","licas"
"5585","cteos","cteos"
"5586","ade","ade"
"5587","rgenes","rgenes"
"5588","publish","publicã"
"5589","to name","nombrar"
"5590","examine","examinarã"
"5591","avoiding","evitando"
"5592","manipulated","manipulaciã"
"5593","luxemburger","luxemburguesa"
"5594","draft","borrador"
"5595","demanded","exigido"
"5596","description","descripciã"
"5597","immediate","inmediatas"
"5598","appropriate","apropiados"
"5599","linked","vinculadas"
"5600","fed","fed"
"5601","refer","referã­a"
"5602","pure","pura"
"5603","result","resultã"
"5604","black","negra"
"5605","judgments","juicios"
"5606","displaced","desplazados"
"5607","help","ayuden"
"5608","encouraging","fomentando"
"5609","to delay","retrasar"
"5610","deregulated","desregulaciã"
"5611","daily","diaria"
"5612","I wanted","deseaba"
"5613","defined","definidos"
"5614","reaffirm","reafirmar"
"5615","complaint","denuncia"
"5616","circular","circular"
"5617","criminality","criminalidad"
"5618","tell us","decirnos"
"5619","Slovenian","eslovena"
"5620","potentially","potencialmente"
"5621","properties","propiedades"
"5622","sit","sentar"
"5623","to import","importar"
"5624","constancy","constancia"
"5625","insular","insulares"
"5626","frequent","frecuentes"
"5627","mentality","mentalidad"
"5628","greet","saludar"
"5629","formal","formales"
"5630","abandoned","abandonado"
"5631","deputies","diputadas"
"5632","slavery","esclavitud"
"5633","claim","reclamar"
"5634","secure","asegure"
"5635","pretend","pretender"
"5636","workers","trabajadoras"
"5637","punishment","castigo"
"5638","qualification","cualificaciã"
"5639","documentaciã","documentaciã"
"5640","assignments","asignaciones"
"5641","demonstrating","demostrando"
"5642","wish","desee"
"5643","perceive","percepciã"
"5644","antidemocrã","antidemocrã"
"5645","checked","comprobado"
"5646","plant","planta"
"5647","customs","aduaneros"
"5648","car","coche"
"5649","statistics","estadã­sticos"
"5650","disabilities","discapacidades"
"5651","ridiculous","ridã­culo"
"5652","compensations","compensaciones"
"5653","axis","eje"
"5654","actãºen","actãºen"
"5655","known","conocidos"
"5656","congratulate him","felicitarle"
"5657","convincing","convincente"
"5658","pass","pasã"
"5659","invested","invertido"
"5660","beats","supera"
"5661","to talk to","hablarã"
"5662","he saw","vio"
"5663","I intervene","intervengo"
"5664","depã","depã"
"5665","commented","comentado"
"5666","hygiene","higiene"
"5667","progressive","progresista"
"5668","concertaciã","concertaciã"
"5669","specialized","especializados"
"5670","The doctor","eldr"
"5671","disappointing","decepcionante"
"5672","detailed","detalladas"
"5673","proud","orgulloso"
"5674","arriving","llegando"
"5675","readmisiã","readmisiã"
"5676","look like","parezca"
"5677","we condemn","condenamos"
"5678","divisions","divisiones"
"5679","instructions","instrucciones"
"5680","I achieved","logre"
"5681","weaken","debilitar"
"5682","touch","toca"
"5683","communism","comunismo"
"5684","dependents","dependientes"
"5685","trains","trenes"
"5686","cancãºn","cancãºn"
"5687","carried","llevada"
"5688","secrets","secretos"
"5689","waves","olas"
"5690","binding","vinculaciã"
"5691","debathe","debatiã"
"5692","counter","contrarrestar"
"5693","executions","ejecuciones"
"5694","games","partidas"
"5695","ivory","marfil"
"5696","husein","husein"
"5697","rselo","rselo"
"5698","precise","precisas"
"5699","benefited","beneficiado"
"5700","it covers","cubre"
"5701","viola","viola"
"5702","pack","pack"
"5703","governmental","gubernamental"
"5704","we examine","examinamos"
"5705","Brake","freno"
"5706","buses","autobuses"
"5707","promised","prometiã"
"5708","visibility","visibilidad"
"5709","old","viejo"
"5710","funded","financiado"
"5711","result","resulten"
"5712","begin to","comenzarã"
"5713","strive","esforzado"
"5714","mãa","mã­a"
"5715","will be","estarã­an"
"5716","considered","considerada"
"5717","installation","instalaciã"
"5718","suspicion","sospecha"
"5719","embryos","embriones"
"5720","asean","asean"
"5721","proceed","proceda"
"5722","offer","ofrezcan"
"5723","obstacles","trabas"
"5724","producer","productor"
"5725","exclude","excluye"
"5726","migrants","migrantes"
"5727","alarm","alarma"
"5728","estate","hacienda"
"5729","they said","dijeron"
"5730","org","orgã"
"5731","pipeline","gasoducto"
"5732","imminent","inminente"
"5733","life","life"
"5734","expensive","caro"
"5735","optical","pticos"
"5736","hopefully","ojalã"
"5737","legislator","legislador"
"5738","just","justos"
"5739","smuggling","contrabando"
"5740","ferrerowaldner","ferrerowaldner"
"5741","to appreciate","apreciar"
"5742","cessation","cese"
"5743","describe","describir"
"5744","face us","enfrentarnos"
"5745","brands","marcas"
"5746","tãºnel","tãºnel"
"5747","get","obtienen"
"5748","limit","limitan"
"5749","play","interpretar"
"5750","traceability","trazabilidad"
"5751","taken","tomada"
"5752","cns","cns"
"5753","bovine","bovino"
"5754","calculations","lculos"
"5755","adopted","adoptados"
"5756","care","detenimiento"
"5757","rescue","rescate"
"5758","will use","utilizarã"
"5759","picture","cuadro"
"5760","tackle","atajar"
"5761","show","demostraciã"
"5762","settlements","asentamientos"
"5763","statistics","estadã­stica"
"5764","strive","esforzarnos"
"5765","let's put","pongamos"
"5766","visit","visitã"
"5767","place","situar"
"5768","marãtimos","marã­timos"
"5769","crates","crates"
"5770","coordinator","coordinador"
"5771","bricas","bricas"
"5772","condemned","condenados"
"5773","to update","actualizar"
"5774","uniforms","uniformes"
"5775","operate","operar"
"5776","I take advantage","aprovecho"
"5777","ãºnicas","ãºnicas"
"5778","universal","universales"
"5779","they exercise","ejercen"
"5780","charmed","encantado"
"5781","red","roja"
"5782","we will support","apoyaremos"
"5783","liikanen","liikanen"
"5784","pieces","piezas"
"5785","radio broadcasting","radiodifusiã"
"5786","Canary Islands","canarias"
"5787","Australia","australia"
"5788","massive","masivo"
"5789","exposes","expone"
"5790","worried","preocupada"
"5791","direct me","dirigirme"
"5792","American","americano"
"5793","show","mostrã"
"5794","activists","activistas"
"5795","capitalism","capitalismo"
"5796","facilitated","facilitado"
"5797","packages","paquetes"
"5798","continued","continuado"
"5799","lately","ãºltimamente"
"5800","against","encontrã"
"5801","constituted","constituido"
"5802","Marine","marina"
"5803","propagate","propagaciã"
"5804","ambitious","ambiciosas"
"5805","ask","pidos"
"5806","bridge","puente"
"5807","school","escolar"
"5808","assistants","asistentes"
"5809","ge","ge"
"5810","wounded","heridos"
"5811","troika","troika"
"5812","connections","conexiones"
"5813","let's vote","votemos"
"5814","remind him","recordarle"
"5815","feasible","factible"
"5816","congratulo","congratulo"
"5817","ntas","ntas"
"5818","failure","fallo"
"5819","member","integrante"
"5820","reinforcing","reforzando"
"5821","how many","cuantas"
"5822","financed","financiados"
"5823","achieves","alcanza"
"5824","no mom","noma"
"5825","sanciã","sanciã"
"5826","Refer to","referirã"
"5827","only","cnicamente"
"5828","popular","populares"
"5829","untenable","insostenible"
"5830","multilingual","multilingã"
"5831","repeatedly","repetidamente"
"5832","concentrate","concentrar"
"5833","past","pasados"
"5834","per","per"
"5835","achieve","lograrse"
"5836","reduce","reducirse"
"5837","invited","invitado"
"5838","fury","sana"
"5839","lukashenko","lukashenko"
"5840","orders","rdenes"
"5841","building","construyendo"
"5842","encompass","abarcar"
"5843","to block","bloquear"
"5844","let's talk","hablemos"
"5845","primary","primaria"
"5846","concludes","concluye"
"5847","spg","spg"
"5848","modern","modernas"
"5849","journalist","periodista"
"5850","presented","presentaron"
"5851","live","viva"
"5852","shameful","vergonzoso"
"5853","defects","defectos"
"5854","modern","modernos"
"5855","lose","pierden"
"5856","occupied","ocupados"
"5857","will perform","realizarã"
"5858","convictions","convicciones"
"5859","eject","expulsiã"
"5860","oomenruijten","oomenruijten"
"5861","regulate","regula"
"5862","status","estatus"
"5863","carried","llevadas"
"5864","chemistry","quã­mica"
"5865","will decide","decidirã"
"5866","enter","entren"
"5867","accessible","accesibles"
"5868","provoke","provocan"
"5869","tourists","turistas"
"5870","restoration","restablecimiento"
"5871","followed","seguida"
"5872","specify","precisar"
"5873","equity","equidad"
"5874","strive","esforzarse"
"5875","complement","complemento"
"5876","African","africano"
"5877","contempt","desprecio"
"5878","Department","departamento"
"5879","find out","averiguar"
"5880","dominant","dominante"
"5881","answer to","responderã"
"5882","recognized","reconocidos"
"5883","had","tuvieran"
"5884","let's see","veamos"
"5885","retribuciã","retribuciã"
"5886","channel","canal"
"5887","deepen","profundizaciã"
"5888","telefã","telefã"
"5889","effected","efectuado"
"5890","portuguese","portugueses"
"5891","colony","colonia"
"5892","berlusconi","berlusconi"
"5893","lehne","lehne"
"5894","temptation","tentaciã"
"5895","Madeira","madeira"
"5896","strongly","fuertemente"
"5897","grã","grã"
"5898","negatively","negativamente"
"5899","amplitude","amplitud"
"5900","forced","obligadas"
"5901","nationalism","nacionalismo"
"5902","tangible","tangibles"
"5903","finish","acabarã"
"5904","make up","confecciã"
"5905","titles","tã­tulos"
"5906","get up","incorporarse"
"5907","develop","desarrollen"
"5908","milestone","hito"
"5909","architecture","arquitectura"
"5910","hydra","hidrã"
"5911","impartial","imparcial"
"5912","you go","vã­speras"
"5913","characteristic","caracterã­stica"
"5914","conventional","convencionales"
"5915","restrictive","restrictivas"
"5916","passports","pasaportes"
"5917","will participate","participarã"
"5918","insisting","insistiendo"
"5919","will understand","comprenderã"
"5920","maternal","materna"
"5921","Awareness","concienciaciã"
"5922","redistribuciã","redistribuciã"
"5923","we appreciate","agradecemos"
"5924","fifth","quinta"
"5925","food","comida"
"5926","bangemann","bangemann"
"5927","donation","donaciã"
"5928","hoc","hoc"
"5929","give","diera"
"5930","retired","retirado"
"5931","uranium","uranio"
"5932","employ","emplean"
"5933","used","utilizada"
"5934","ask them","pedirles"
"5935","think","pensã"
"5936","rceles","rceles"
"5937","pain","dolor"
"5938","pollute","contamina"
"5939","find","hallan"
"5940","traffickers","traficantes"
"5941","pretend","pretendã­a"
"5942","climbing","escalada"
"5943","packaging","envases"
"5944","to concentrate","concentrarse"
"5945","degradation","degradaciã"
"5946","send","envã­a"
"5947","intolerance","intolerancia"
"5948","cheap","baratos"
"5949","start","empezã"
"5950","Applied","aplicada"
"5951","couples","parejas"
"5952","chernã","chernã"
"5953","reduce","reduzca"
"5954","developments","desarrollos"
"5955","agresiã","agresiã"
"5956","denomination","denominaciã"
"5957","change","cambie"
"5958","birth","nacimiento"
"5959","reunification","reunificaciã"
"5960","exposed","expuestas"
"5961","detentions","detenciones"
"5962","underlying","subyacentes"
"5963","suddenly","repente"
"5964","land","terrenos"
"5965","coordinated","coordinado"
"5966","old woman","vieja"
"5967","hospitals","hospitales"
"5968","dynamism","dinamismo"
"5969","supranational","supranacional"
"5970","Confidentiality","confidencialidad"
"5971","compete","compete"
"5972","flagrant","flagrante"
"5973","we leave","dejamos"
"5974","dispositives","dispositivos"
"5975","false","falsa"
"5976","religions","religiones"
"5977","privacy","intimidad"
"5978","stop","paradã"
"5979","send","enviã"
"5980","we will achieve","lograremos"
"5981","indignation","indignaciã"
"5982","be it","serlo"
"5983","prohibitions","prohibiciones"
"5984","cohnbendit","cohnbendit"
"5985","supreme","supremo"
"5986","Privacy","privacidad"
"5987","cigarettes","cigarrillos"
"5988","continue on","continãºen"
"5989","lend","prestan"
"5990","exact","exacta"
"5991","artists","artistas"
"5992","biomã","biomã"
"5993","authorized","autorizado"
"5994","unfair","injusta"
"5995","passport","pasaporte"
"5996","advanced","avanzados"
"5997","rebuild","reconstruir"
"5998","growing","crecientes"
"5999","lack","carencia"
"6000","frankness","franqueza"
"6001","sovereign","soberano"
"6002","quantãa","cuantã­a"
"6003","witness","testigo"
"6004","automotive","automovilã­stica"
"6005","license","licencia"
"6006","innovative","innovadora"
"6007","controversy","controversia"
"6008","rectification","rectificativo"
"6009","provisiã","provisiã"
"6010","set up","instaurar"
"6011","transnational","transnacional"
"6012","struggled","luchado"
"6013","will achieve","lograrã"
"6014","firm","firmã"
"6015","advocate","aboga"
"6016","liquidation","liquidaciã"
"6017","harbor","harbour"
"6018","belarus","bielorrusia"
"6019","youth","juvenil"
"6020","limited","limitadas"
"6021","drought","sequã­a"
"6022","insured","asegurado"
"6023","revised","revisada"
"6024","link","vincular"
"6025","Basque","vasco"
"6026","shareholders","accionistas"
"6027","undermine","socavar"
"6028","offer","brindar"
"6029","limit","limite"
"6030","improve","mejoren"
"6031","routed","encaminado"
"6032","prerogatives","prerrogativas"
"6033","convert","convierten"
"6034","removed","eliminado"
"6035","uticos","uticos"
"6036","factory","brica"
"6037","calculates","calcula"
"6038","deliberately","deliberadamente"
"6039","aae","aae"
"6040","gonzã","gonzã"
"6041","grant","conceden"
"6042","fact","dato"
"6043","der","der"
"6044","join me","sumarme"
"6045","enjoy","gozan"
"6046","begin to","empezarã"
"6047","reflected","reflejado"
"6048","come back","vuelven"
"6049","son","hijo"
"6050","room","cabida"
"6051","determinant","determinante"
"6052","bears","osas"
"6053","assumes","asume"
"6054","lamy","lamy"
"6055","the Mint","lamenta"
"6056","taking advantage","aprovechando"
"6057","rehn","rehn"
"6058","frequent","frecuente"
"6059","specialists","especialistas"
"6060","inform them","informarles"
"6061","will approve","aprobarã"
"6062","compromise","compromete"
"6063","center","centrã"
"6064","slow","lento"
"6065","ideals","ideales"
"6066","displaced","desplazadas"
"6067","alan","alan"
"6068","seconds","segundos"
"6069","notable","notables"
"6070","warn","advertir"
"6071","wide","ancha"
"6072","let's adopt","adoptemos"
"6073","moslo","moslo"
"6074","sexes","sexos"
"6075","expand","amplã­a"
"6076","be fulfilled","cumplirse"
"6077","dispute","disputa"
"6078","harms","perjudica"
"6079","help","ayudan"
"6080","ctrica","ctrica"
"6081","participates","participã"
"6082","features","sticas"
"6083","the ceiling","techo"
"6084","parasa","paraã­sos"
"6085","rites","ritos"
"6086","blocks","bloques"
"6087","controlled","controlada"
"6088","guard","guardia"
"6089","ask","pidas"
"6090","place","colocar"
"6091","wait","esperã"
"6092","reduce","reducen"
"6093","respectful","respetuosa"
"6094","decide","decidan"
"6095","logrã","logrã"
"6096","decide","deciden"
"6097","knowing","sabiendo"
"6098","treatments","tratamientos"
"6099","bar","barrot"
"6100","regulatory","reglamentario"
"6101","rpretes","rpretes"
"6102","they need","precisan"
"6103","center","centrarã"
"6104","appeals","llamamientos"
"6105","we decided to","decidimos"
"6106","to get well","mejorarse"
"6107","vegetables","hortalizas"
"6108","mann","mann"
"6109","clean","limpia"
"6110","look","mira"
"6111","Exhausted","agotado"
"6112","created","creada"
"6113","thirds","tercios"
"6114","Express oneself","expresarse"
"6115","beneficial","beneficiosa"
"6116","annually","anualmente"
"6117","assisted","asistido"
"6118","protect","proteja"
"6119","currents","corrientes"
"6120","detecciã","detecciã"
"6121","admission","admisiã"
"6122","attack","atacar"
"6123","Christmas","navidad"
"6124","go","vayamos"
"6125","epidemic","epidemia"
"6126","parallel","paralelo"
"6127","biomass","biomasa"
"6128","acquired","adquiridos"
"6129","consequent","consecuente"
"6130","jacques","jacques"
"6131","continued","continuada"
"6132","ethiopia","etiopã­a"
"6133","widespread","generalizado"
"6134","symbols","sã­mbolos"
"6135","comparable","comparables"
"6136","Chile","chile"
"6137","promote","promueva"
"6138","I could","pude"
"6139","mark","marcar"
"6140","damages","perjuicios"
"6141","chance","casualidad"
"6142","Venezuela","venezuela"
"6143","recopilaciã","recopilaciã"
"6144","known","conocidas"
"6145","they use","usan"
"6146","appreciaciã","apreciaciã"
"6147","coincidence","coincidencia"
"6148","false","falsas"
"6149","dictator","dictador"
"6150","feel","sienta"
"6151","they enjoy","disfrutan"
"6152","realism","realismo"
"6153","involved","implicado"
"6154","volunteering","voluntariado"
"6155","travel","recorrido"
"6156","actor","actor"
"6157","regularity","regularidad"
"6158","accusation","acusaciã"
"6159","celerity","celeridad"
"6160","guilty","culpable"
"6161","accept","aceptan"
"6162","angola","angola"
"6163","caã","caã"
"6164","official","funcionario"
"6165","decentralization","descentralizaciã"
"6166","disadvantaged","desfavorecidos"
"6167","shipowners","armadores"
"6168","raising","planteando"
"6169","box","caja"
"6170","devote","dedican"
"6171","we went","fuimos"
"6172","providing","proporcionando"
"6173","accessibility","accesibilidad"
"6174","fall","caã­do"
"6175","angular","angular"
"6176","merchants","comerciantes"
"6177","drama","drama"
"6178","privileges","privilegios"
"6179","fines","multas"
"6180","josã","josã"
"6181","I would appreciate","agradecerã­a"
"6182","collected","recogidas"
"6183","address","abordan"
"6184","will require","requerirã"
"6185","we support","respaldamos"
"6186","refer","referirse"
"6187","Chad","chad"
"6188","inddem","inddem"
"6189","encouraging","alentador"
"6190","update","actualizaciã"
"6191","electric","ctrico"
"6192","tell","contarã"
"6193","let's get","consigamos"
"6194","discrepancies","discrepancias"
"6195","protean","proteã­nas"
"6196","coat","revisten"
"6197","wingspan","envergadura"
"6198","palliate","paliar"
"6199","guãa","guã­a"
"6200","it grows","crece"
"6201","une","une"
"6202","exploitation","aprovechamiento"
"6203","agent","agente"
"6204","intercultural","intercultural"
"6205","frustration","frustraciã"
"6206","demanding","exigiendo"
"6207","they get","consiguen"
"6208","Changing","cambiando"
"6209","resulting","resultantes"
"6210","interpretations","interpretaciones"
"6211","punish","castigar"
"6212","subscribed","suscrito"
"6213","stagnation","estancamiento"
"6214","introducing","introduciendo"
"6215","prevented","impedido"
"6216","we remember","recordamos"
"6217","Indexes","ã­ndices"
"6218","receiving","recibiendo"
"6219","identified","identificado"
"6220","I approve","apruebo"
"6221","paying","pagando"
"6222","will establish","establecerã"
"6223","will address","abordarã"
"6224","complement","complementar"
"6225","compromise","comprometer"
"6226","careful","atenta"
"6227","deals","tratos"
"6228","ped","pedã­a"
"6229","vegetables","vegetales"
"6230","sustained","sostenido"
"6231","retention","retenciã"
"6232","feed","alimentar"
"6233","neutrality","neutralidad"
"6234","achieves","alcanzã"
"6235","methodology","metodologã­a"
"6236","sports","deportivas"
"6237","disputes","disputas"
"6238","sir","sir"
"6239","murdered","asesinados"
"6240","reinforcement","reforzamiento"
"6241","Seville","sevilla"
"6242","slope","declive"
"6243","certificates","certificados"
"6244","numbers","nãºmeros"
"6245","very important","importantã­simo"
"6246","lead to","conducirã"
"6247","delors","delors"
"6248","employ","emplea"
"6249","tea","te"
"6250","expansions","ampliaciones"
"6251","harshly","duramente"
"6252","who","oms"
"6253","florence","florencia"
"6254","counterproductive","contraproducente"
"6255","constants","constantes"
"6256","healthy","saludables"
"6257","resume","reanudar"
"6258","have it","haberlo"
"6259","develop","desarrollan"
"6260","artificial","artificial"
"6261","resulting","resultante"
"6262","restauraciã","restauraciã"
"6263","reflect","refleje"
"6264","listening","escuchando"
"6265","leader","dirigente"
"6266","they adopted","adoptaron"
"6267","maãz","maã­z"
"6268","mccreevy","mccreevy"
"6269","sl","sl"
"6270","renovate","renovar"
"6271","cause","causan"
"6272","granted","concedida"
"6273","invites","invita"
"6274","recognized","reconocida"
"6275","innumerable","innumerables"
"6276","lights","luces"
"6277","Amnesty","amnistã­a"
"6278","presenting","presentando"
"6279","visited","visitado"
"6280","reproductive","reproductiva"
"6281","story","cuento"
"6282","accused","acusado"
"6283","synergies","sinergias"
"6284","departments","departamentos"
"6285","fashion","moda"
"6286","travel","viajan"
"6287","empire","imperio"
"6288","roundly","rotundamente"
"6289","tags","etiquetas"
"6290","I suggest","sugiero"
"6291","they match","coinciden"
"6292","fusions","fusiones"
"6293","properly","propiamente"
"6294","they request","solicitan"
"6295","tell","digan"
"6296","licos","licos"
